Index,relPosN,relPosE,UTC
372,0.8765,-0.0961,11:14:56.280 03/07/2019
373,,,
374,0.1550,0.5477,11:14:56.460 03/07/2019
375,,,
376,0.1632,0.5520,11:14:56.640 03/07/2019
377,,,
378,0.1606,0.5509,11:14:56.820 03/07/2019
379,,,
380,0.1591,0.5517,11:14:57.000 03/07/2019
381,,,
382,0.1589,0.5512,11:14:57.180 03/07/2019
383,,,
384,0.1587,0.5513,11:14:57.360 03/07/2019
385,,,
386,0.1579,0.5509,11:14:57.540 03/07/2019
387,,,
388,0.1584,0.5495,11:14:57.720 03/07/2019
389,,,
390,0.1586,0.5508,11:14:57.900 03/07/2019
391,,,
392,0.1591,0.5510,11:14:58.080 03/07/2019
393,,,
394,0.1596,0.5522,11:14:58.320 03/07/2019
395,,,
396,0.1596,0.5530,11:14:58.500 03/07/2019
397,,,
398,0.1597,0.5528,11:14:58.680 03/07/2019
399,,,
400,0.1593,0.5517,11:14:58.860 03/07/2019
401,,,
402,0.1603,0.5517,11:14:59.040 03/07/2019
403,,,
404,0.1600,0.5507,11:14:59.220 03/07/2019
405,,,
406,0.1602,0.5514,11:14:59.400 03/07/2019
407,,,
408,0.1608,0.5508,11:14:59.580 03/07/2019
409,,,
410,0.1610,0.5527,11:14:59.760 03/07/2019
411,,,
412,0.1610,0.5514,11:14:59.940 03/07/2019
413,,,
414,0.1612,0.5527,11:15:00.120 03/07/2019
415,,,
416,0.1607,0.5532,11:15:00.300 03/07/2019
417,,,
418,0.1602,0.5516,11:15:00.480 03/07/2019
419,,,
420,0.1595,0.5515,11:15:00.660 03/07/2019
421,,,
422,0.1604,0.5523,11:15:00.840 03/07/2019
423,,,
424,0.1583,0.5512,11:15:01.020 03/07/2019
425,,,
426,0.1591,0.5517,11:15:01.200 03/07/2019
427,,,
428,0.1572,0.5520,11:15:01.380 03/07/2019
429,,,
430,0.1566,0.5511,11:15:01.560 03/07/2019
431,,,
432,0.1560,0.5505,11:15:01.740 03/07/2019
433,,,
434,0.1520,0.5489,11:15:01.920 03/07/2019
435,,,
436,0.1509,0.5493,11:15:02.100 03/07/2019
437,,,
438,0.1494,0.5487,11:15:02.280 03/07/2019
439,,,
440,0.1492,0.5487,11:15:02.460 03/07/2019
441,,,
442,0.1483,0.5487,11:15:02.640 03/07/2019
443,,,
444,0.1461,0.5481,11:15:02.820 03/07/2019
445,,,
446,0.1468,0.5491,11:15:03.000 03/07/2019
447,,,
448,0.1458,0.5476,11:15:03.180 03/07/2019
449,,,
450,0.1460,0.5492,11:15:03.360 03/07/2019
451,,,
452,0.1455,0.5490,11:15:03.540 03/07/2019
453,,,
454,0.1416,0.5488,11:15:03.720 03/07/2019
455,,,
456,0.1415,0.5484,11:15:03.900 03/07/2019
457,,,
458,0.1401,0.5481,11:15:04.080 03/07/2019
459,,,
460,0.1404,0.5492,11:15:04.260 03/07/2019
461,,,
462,0.1399,0.5492,11:15:04.440 03/07/2019
463,,,
464,0.1404,0.5487,11:15:04.620 03/07/2019
465,,,
466,0.1414,0.5489,11:15:04.800 03/07/2019
467,,,
468,0.1412,0.5491,11:15:04.980 03/07/2019
469,,,
470,0.1424,0.5488,11:15:05.160 03/07/2019
471,,,
472,0.1407,0.5476,11:15:05.340 03/07/2019
473,,,
474,0.1399,0.5487,11:15:05.520 03/07/2019
475,,,
476,0.1424,0.5491,11:15:05.700 03/07/2019
477,,,
478,0.1436,0.5496,11:15:05.880 03/07/2019
479,,,
480,0.1434,0.5487,11:15:06.060 03/07/2019
481,,,
482,0.1444,0.5487,11:15:06.240 03/07/2019
483,,,
484,0.1443,0.5489,11:15:06.420 03/07/2019
485,,,
486,0.1461,0.5477,11:15:06.600 03/07/2019
487,,,
488,0.1472,0.5476,11:15:06.780 03/07/2019
489,,,
490,0.1468,0.5476,11:15:06.960 03/07/2019
491,,,
492,0.1476,0.5482,11:15:07.140 03/07/2019
493,,,
494,0.1471,0.5474,11:15:07.320 03/07/2019
495,,,
496,0.1472,0.5467,11:15:07.500 03/07/2019
497,,,
498,0.1525,0.5472,11:15:07.680 03/07/2019
499,,,
500,0.1525,0.5476,11:15:07.860 03/07/2019
501,,,
502,0.1521,0.5465,11:15:08.040 03/07/2019
503,,,
504,0.1515,0.5462,11:15:08.220 03/07/2019
505,,,
506,0.1515,0.5463,11:15:08.400 03/07/2019
507,,,
508,0.1513,0.5454,11:15:08.580 03/07/2019
509,,,
510,0.1519,0.5454,11:15:08.760 03/07/2019
511,,,
512,0.1504,0.5448,11:15:08.880 03/07/2019
513,,,
514,0.1518,0.5453,11:15:09.060 03/07/2019
515,,,
516,0.1531,0.5441,11:15:09.240 03/07/2019
517,,,
518,0.1523,0.5439,11:15:09.420 03/07/2019
519,,,
520,0.1524,0.5445,11:15:09.600 03/07/2019
521,,,
522,0.1522,0.5442,11:15:09.780 03/07/2019
523,,,
524,0.1518,0.5431,11:15:09.960 03/07/2019
525,,,
526,0.1513,0.5430,11:15:10.140 03/07/2019
527,,,
528,0.1521,0.5438,11:15:10.320 03/07/2019
529,,,
530,0.1519,0.5422,11:15:10.500 03/07/2019
531,,,
532,0.1511,0.5425,11:15:10.680 03/07/2019
533,,,
534,0.1523,0.5435,11:15:10.860 03/07/2019
535,,,
536,0.1517,0.5423,11:15:11.040 03/07/2019
537,,,
538,0.1524,0.5429,11:15:11.220 03/07/2019
539,,,
540,0.1523,0.5433,11:15:11.400 03/07/2019
541,,,
542,0.1533,0.5429,11:15:11.580 03/07/2019
543,,,
544,0.1536,0.5428,11:15:11.760 03/07/2019
545,,,
546,0.1542,0.5425,11:15:11.940 03/07/2019
547,,,
548,0.1530,0.5428,11:15:12.120 03/07/2019
549,,,
550,0.1539,0.5431,11:15:12.300 03/07/2019
551,,,
552,0.1548,0.5425,11:15:12.480 03/07/2019
553,,,
554,0.1529,0.5428,11:15:12.660 03/07/2019
555,,,
556,0.1526,0.5437,11:15:12.840 03/07/2019
557,,,
558,0.1539,0.5432,11:15:13.020 03/07/2019
559,,,
560,0.1543,0.5434,11:15:13.200 03/07/2019
561,,,
562,0.1536,0.5427,11:15:13.380 03/07/2019
563,,,
564,0.1545,0.5424,11:15:13.560 03/07/2019
565,,,
566,0.1547,0.5427,11:15:13.740 03/07/2019
567,,,
568,0.1547,0.5426,11:15:13.920 03/07/2019
569,,,
570,0.1569,0.5431,11:15:14.100 03/07/2019
571,,,
572,0.1575,0.5431,11:15:14.280 03/07/2019
573,,,
574,0.1577,0.5414,11:15:14.460 03/07/2019
575,,,
576,0.1575,0.5419,11:15:14.640 03/07/2019
577,,,
578,0.1579,0.5425,11:15:14.820 03/07/2019
579,,,
580,0.1581,0.5429,11:15:15.000 03/07/2019
581,,,
582,0.1589,0.5430,11:15:15.180 03/07/2019
583,,,
584,0.1580,0.5436,11:15:15.360 03/07/2019
585,,,
586,0.1584,0.5430,11:15:15.540 03/07/2019
587,,,
588,0.1587,0.5438,11:15:15.720 03/07/2019
589,,,
590,0.1583,0.5440,11:15:15.900 03/07/2019
591,,,
592,0.1589,0.5444,11:15:16.080 03/07/2019
593,,,
594,0.1600,0.5445,11:15:16.260 03/07/2019
595,,,
596,0.1598,0.5456,11:15:16.440 03/07/2019
597,,,
598,0.1605,0.5449,11:15:16.620 03/07/2019
599,,,
600,0.1604,0.5459,11:15:16.800 03/07/2019
601,,,
602,0.1607,0.5454,11:15:16.980 03/07/2019
603,,,
604,0.1601,0.5456,11:15:17.160 03/07/2019
605,,,
606,0.1595,0.5451,11:15:17.340 03/07/2019
607,,,
608,0.1573,0.5471,11:15:17.520 03/07/2019
609,,,
610,0.1564,0.5471,11:15:17.700 03/07/2019
611,,,
612,0.1569,0.5463,11:15:17.880 03/07/2019
613,,,
614,0.1561,0.5469,11:15:18.060 03/07/2019
615,,,
616,0.1559,0.5471,11:15:18.240 03/07/2019
617,,,
618,0.1561,0.5471,11:15:18.420 03/07/2019
619,,,
620,0.1529,0.5473,11:15:18.600 03/07/2019
621,,,
622,0.1515,0.5465,11:15:18.780 03/07/2019
623,,,
624,0.1519,0.5483,11:15:18.960 03/07/2019
625,,,
626,0.1514,0.5481,11:15:19.140 03/07/2019
627,,,
628,0.1509,0.5482,11:15:19.320 03/07/2019
629,,,
630,0.1515,0.5488,11:15:19.500 03/07/2019
631,,,
632,0.1508,0.5480,11:15:19.680 03/07/2019
633,,,
634,0.1519,0.5484,11:15:19.860 03/07/2019
635,,,
636,0.1519,0.5483,11:15:20.040 03/07/2019
637,,,
638,0.1514,0.5492,11:15:20.220 03/07/2019
