Index,relPosN,relPosE,UTC
2516,0.1448,0.5455,11:18:10.860 03/07/2019
2517,,,
2518,0.1457,0.5445,11:18:11.040 03/07/2019
2519,,,
2520,0.1467,0.5465,11:18:11.220 03/07/2019
2521,,,
2522,0.1454,0.5467,11:18:11.400 03/07/2019
2523,,,
2524,0.1438,0.5448,11:18:11.580 03/07/2019
2525,,,
2526,0.1449,0.5447,11:18:11.820 03/07/2019
2527,,,
2528,0.1428,0.5441,11:18:12.000 03/07/2019
2529,,,
2530,0.1412,0.5428,11:18:12.240 03/07/2019
2531,,,
2532,0.1416,0.5429,11:18:12.420 03/07/2019
2533,,,
2534,0.1421,0.5434,11:18:12.600 03/07/2019
2535,,,
2536,0.1423,0.5439,11:18:12.780 03/07/2019
2537,,,
2538,0.1423,0.5445,11:18:12.960 03/07/2019
2539,,,
2540,0.1426,0.5443,11:18:13.140 03/07/2019
2541,,,
2542,0.1426,0.5439,11:18:13.320 03/07/2019
2543,,,
2544,0.1457,0.5448,11:18:13.560 03/07/2019
2545,,,
2546,0.1482,0.5466,11:18:13.740 03/07/2019
2547,,,
2548,0.1494,0.5470,11:18:13.920 03/07/2019
2549,,,
2550,0.1484,0.5430,11:18:14.160 03/07/2019
2551,,,
2552,0.1538,0.5438,11:18:14.340 03/07/2019
2553,,,
2554,0.1546,0.5461,11:18:14.580 03/07/2019
2555,,,
2556,0.1551,0.5468,11:18:14.760 03/07/2019
2557,,,
2558,0.1554,0.5464,11:18:15.000 03/07/2019
2559,,,
2560,0.1542,0.5457,11:18:15.180 03/07/2019
2561,,,
2562,0.1552,0.5460,11:18:15.360 03/07/2019
2563,,,
2564,0.1576,0.5466,11:18:15.540 03/07/2019
2565,,,
2566,0.1584,0.5462,11:18:15.720 03/07/2019
2567,,,
2568,0.1579,0.5464,11:18:15.900 03/07/2019
2569,,,
2570,0.1580,0.5461,11:18:16.080 03/07/2019
2571,,,
2572,0.1575,0.5461,11:18:16.320 03/07/2019
2573,,,
2574,0.1576,0.5457,11:18:16.500 03/07/2019
2575,,,
2576,0.1606,0.5482,11:18:16.680 03/07/2019
2577,,,
2578,0.1610,0.5492,11:18:16.860 03/07/2019
2579,,,
2580,0.1610,0.5486,11:18:17.040 03/07/2019
2581,,,
2582,0.1606,0.5485,11:18:17.220 03/07/2019
2583,,,
2584,0.1603,0.5481,11:18:17.400 03/07/2019
2585,,,
2586,0.1589,0.5476,11:18:17.580 03/07/2019
2587,,,
2588,0.1595,0.5474,11:18:17.760 03/07/2019
2589,,,
2590,0.1596,0.5479,11:18:17.940 03/07/2019
2591,,,
2592,0.1602,0.5477,11:18:18.120 03/07/2019
2593,,,
2594,0.1603,0.5477,11:18:18.300 03/07/2019
2595,,,
2596,0.1589,0.5462,11:18:18.480 03/07/2019
2597,,,
2598,0.1596,0.5461,11:18:18.660 03/07/2019
2599,,,
2600,0.1598,0.5472,11:18:18.840 03/07/2019
2601,,,
2602,0.1604,0.5475,11:18:19.020 03/07/2019
2603,,,
2604,0.1603,0.5475,11:18:19.200 03/07/2019
2605,,,
2606,0.1613,0.5472,11:18:19.380 03/07/2019
2607,,,
2608,0.1620,0.5464,11:18:19.560 03/07/2019
2609,,,
2610,0.1613,0.5461,11:18:19.740 03/07/2019
2611,,,
2612,0.1619,0.5452,11:18:19.920 03/07/2019
2613,,,
2614,0.1624,0.5452,11:18:20.100 03/07/2019
2615,,,
2616,0.1621,0.5463,11:18:20.280 03/07/2019
2617,,,
2618,0.1625,0.5453,11:18:20.460 03/07/2019
2619,,,
2620,0.1627,0.5455,11:18:20.640 03/07/2019
2621,,,
2622,0.1620,0.5455,11:18:20.820 03/07/2019
2623,,,
2624,0.1611,0.5455,11:18:21.000 03/07/2019
2625,,,
2626,0.1605,0.5448,11:18:21.180 03/07/2019
2627,,,
2628,0.1605,0.5453,11:18:21.360 03/07/2019
2629,,,
2630,0.1608,0.5455,11:18:21.540 03/07/2019
2631,,,
2632,0.1497,0.5364,11:18:21.720 03/07/2019
2633,,,
2634,0.1506,0.5364,11:18:21.900 03/07/2019
2635,,,
2636,0.1523,0.5363,11:18:22.080 03/07/2019
2637,,,
2638,0.1516,0.5362,11:18:22.320 03/07/2019
2639,,,
2640,0.1503,0.5358,11:18:22.500 03/07/2019
2641,,,
2642,0.1498,0.5359,11:18:22.680 03/07/2019
2643,,,
2644,0.1500,0.5361,11:18:22.860 03/07/2019
2645,,,
2646,0.1491,0.5374,11:18:23.100 03/07/2019
2647,,,
2648,0.1497,0.5377,11:18:23.280 03/07/2019
2649,,,
2650,0.1500,0.5377,11:18:23.460 03/07/2019
2651,,,
2652,0.1508,0.5385,11:18:23.640 03/07/2019
2653,,,
2654,0.1504,0.5417,11:18:23.820 03/07/2019
2655,,,
2656,0.1529,0.5431,11:18:24.060 03/07/2019
2657,,,
2658,0.1526,0.5457,11:18:24.300 03/07/2019
2659,,,
2660,0.1535,0.5431,11:18:24.480 03/07/2019
2661,,,
2662,0.1539,0.5418,11:18:24.720 03/07/2019
2663,,,
2664,0.1547,0.5429,11:18:24.900 03/07/2019
2665,,,
2666,0.1520,0.5396,11:18:25.080 03/07/2019
2667,,,
2668,0.1541,0.5409,11:18:25.260 03/07/2019
2669,,,
2670,0.1516,0.5410,11:18:25.440 03/07/2019
2671,,,
2672,0.1520,0.5426,11:18:25.620 03/07/2019
2673,,,
2674,0.1524,0.5395,11:18:25.800 03/07/2019
2675,,,
2676,0.1514,0.5401,11:18:25.980 03/07/2019
2677,,,
2678,0.1518,0.5419,11:18:26.160 03/07/2019
2679,,,
2680,0.1522,0.5408,11:18:26.340 03/07/2019
2681,,,
2682,0.1526,0.5424,11:18:26.580 03/07/2019
2683,,,
2684,0.1522,0.5430,11:18:26.760 03/07/2019
2685,,,
2686,0.1529,0.5430,11:18:26.940 03/07/2019
2687,,,
2688,0.1539,0.5435,11:18:27.120 03/07/2019
2689,,,
2690,0.1540,0.5435,11:18:27.300 03/07/2019
2691,,,
2692,0.1546,0.5436,11:18:27.480 03/07/2019
2693,,,
2694,0.1559,0.5449,11:18:27.660 03/07/2019
2695,,,
2696,0.1618,0.5452,11:18:27.840 03/07/2019
2697,,,
2698,0.1625,0.5453,11:18:28.020 03/07/2019
2699,,,
2700,0.1643,0.5458,11:18:28.200 03/07/2019
2701,,,
2702,0.1649,0.5472,11:18:28.380 03/07/2019
2703,,,
2704,0.1649,0.5463,11:18:28.560 03/07/2019
2705,,,
2706,0.1655,0.5472,11:18:28.740 03/07/2019
2707,,,
2708,0.1659,0.5469,11:18:28.920 03/07/2019
2709,,,
2710,0.1672,0.5464,11:18:29.100 03/07/2019
2711,,,
2712,0.1677,0.5461,11:18:29.280 03/07/2019
2713,,,
2714,0.1691,0.5463,11:18:29.460 03/07/2019
2715,,,
2716,0.1691,0.5466,11:18:29.640 03/07/2019
2717,,,
2718,0.1709,0.5473,11:18:29.820 03/07/2019
2719,,,
2720,0.1704,0.5479,11:18:30.000 03/07/2019
2721,,,
2722,0.1715,0.5477,11:18:30.180 03/07/2019
2723,,,
2724,0.1715,0.5483,11:18:30.360 03/07/2019
2725,,,
2726,0.1717,0.5476,11:18:30.540 03/07/2019
2727,,,
2728,0.1703,0.5487,11:18:30.720 03/07/2019
2729,,,
2730,0.1730,0.5489,11:18:30.900 03/07/2019
2731,,,
2732,0.1715,0.5491,11:18:31.080 03/07/2019
2733,,,
2734,0.1717,0.5486,11:18:31.260 03/07/2019
2735,,,
2736,0.1692,0.5496,11:18:31.440 03/07/2019
2737,,,
2738,0.1675,0.5496,11:18:31.620 03/07/2019
2739,,,
2740,0.1664,0.5488,11:18:31.800 03/07/2019
2741,,,
2742,0.1632,0.5483,11:18:31.980 03/07/2019
2743,,,
2744,0.1626,0.5487,11:18:32.220 03/07/2019
2745,,,
2746,0.1625,0.5481,11:18:32.400 03/07/2019
2747,,,
2748,0.1606,0.5481,11:18:32.580 03/07/2019
2749,,,
2750,0.1605,0.5490,11:18:32.760 03/07/2019
2751,,,
2752,0.1595,0.5491,11:18:32.940 03/07/2019
2753,,,
2754,0.1595,0.5479,11:18:33.120 03/07/2019
2755,,,
2756,0.1584,0.5483,11:18:33.360 03/07/2019
2757,,,
2758,0.1598,0.5491,11:18:33.540 03/07/2019
2759,,,
2760,0.1530,0.5461,11:18:33.720 03/07/2019
2761,,,
2762,0.1515,0.5459,11:18:33.960 03/07/2019
2763,,,
2764,0.1521,0.5466,11:18:34.200 03/07/2019
2765,,,
2766,0.1533,0.5460,11:18:34.380 03/07/2019
2767,,,
2768,0.1534,0.5460,11:18:34.560 03/07/2019
2769,,,
2770,0.1504,0.5450,11:18:34.740 03/07/2019
2771,,,
2772,0.1514,0.5452,11:18:34.980 03/07/2019
2773,,,
2774,0.1516,0.5429,11:18:35.160 03/07/2019
2775,,,
2776,0.1516,0.5430,11:18:35.340 03/07/2019
2777,,,
2778,0.1525,0.5431,11:18:35.520 03/07/2019
2779,,,
2780,0.1513,0.5449,11:18:35.700 03/07/2019
2781,,,
2782,0.1516,0.5454,11:18:35.880 03/07/2019
2783,,,
2784,0.1516,0.5448,11:18:36.060 03/07/2019
2785,,,
2786,0.1526,0.5451,11:18:36.300 03/07/2019
2787,,,
2788,0.1519,0.5446,11:18:36.480 03/07/2019
2789,,,
2790,0.1521,0.5445,11:18:36.660 03/07/2019
2791,,,
2792,0.1513,0.5441,11:18:36.840 03/07/2019
2793,,,
2794,0.1519,0.5446,11:18:37.020 03/07/2019
2795,,,
2796,0.1511,0.5451,11:18:37.200 03/07/2019
2797,,,
2798,0.1514,0.5447,11:18:37.380 03/07/2019
2799,,,
2800,0.1500,0.5448,11:18:37.560 03/07/2019
2801,,,
2802,0.1505,0.5448,11:18:37.740 03/07/2019
2803,,,
2804,0.1497,0.5447,11:18:37.920 03/07/2019
2805,,,
2806,0.1485,0.5439,11:18:38.100 03/07/2019
2807,,,
2808,0.1485,0.5447,11:18:38.280 03/07/2019
2809,,,
2810,0.1489,0.5446,11:18:38.460 03/07/2019
2811,,,
2812,0.1571,0.5442,11:18:38.640 03/07/2019
2813,,,
2814,0.1574,0.5434,11:18:38.820 03/07/2019
2815,,,
2816,0.1562,0.5433,11:18:39.000 03/07/2019
2817,,,
2818,0.1555,0.5435,11:18:39.180 03/07/2019
2819,,,
2820,0.1560,0.5433,11:18:39.360 03/07/2019
2821,,,
2822,0.1552,0.5452,11:18:39.540 03/07/2019
2823,,,
2824,0.1550,0.5455,11:18:39.720 03/07/2019
2825,,,
2826,0.1532,0.5444,11:18:39.900 03/07/2019
2827,,,
2828,0.1543,0.5447,11:18:40.080 03/07/2019
2829,,,
2830,0.1547,0.5446,11:18:40.260 03/07/2019
2831,,,
2832,0.1534,0.5444,11:18:40.440 03/07/2019
2833,,,
2834,0.1544,0.5445,11:18:40.620 03/07/2019
2835,,,
2836,0.1538,0.5431,11:18:40.800 03/07/2019
2837,,,
2838,0.1541,0.5425,11:18:40.980 03/07/2019
2839,,,
2840,0.1551,0.5427,11:18:41.160 03/07/2019
2841,,,
2842,0.1544,0.5435,11:18:41.340 03/07/2019
2843,,,
2844,0.1535,0.5429,11:18:41.520 03/07/2019
2845,,,
2846,0.1534,0.5434,11:18:41.700 03/07/2019
2847,,,
2848,0.1540,0.5445,11:18:41.880 03/07/2019
2849,,,
2850,0.1535,0.5440,11:18:42.060 03/07/2019
2851,,,
2852,0.1546,0.5439,11:18:42.300 03/07/2019
2853,,,
2854,0.1538,0.5433,11:18:42.420 03/07/2019
2855,,,
2856,0.1532,0.5434,11:18:42.600 03/07/2019
2857,,,
2858,0.1552,0.5433,11:18:42.780 03/07/2019
2859,,,
2860,0.1547,0.5432,11:18:42.960 03/07/2019
2861,,,
2862,0.1554,0.5439,11:18:43.140 03/07/2019
2863,,,
2864,0.1561,0.5439,11:18:43.320 03/07/2019
2865,,,
2866,0.1553,0.5434,11:18:43.500 03/07/2019
2867,,,
2868,0.1551,0.5427,11:18:43.680 03/07/2019
2869,,,
2870,0.1547,0.5423,11:18:43.860 03/07/2019
2871,,,
2872,0.1551,0.5425,11:18:44.040 03/07/2019
2873,,,
2874,0.1545,0.5413,11:18:44.220 03/07/2019
2875,,,
2876,0.1555,0.5422,11:18:44.400 03/07/2019
2877,,,
2878,0.1555,0.5416,11:18:44.580 03/07/2019
2879,,,
2880,0.1548,0.5412,11:18:44.760 03/07/2019
2881,,,
2882,0.1552,0.5402,11:18:44.940 03/07/2019
2883,,,
2884,0.1551,0.5411,11:18:45.120 03/07/2019
2885,,,
2886,0.1549,0.5419,11:18:45.300 03/07/2019
2887,,,
2888,0.1556,0.5420,11:18:45.480 03/07/2019
2889,,,
2890,0.1559,0.5425,11:18:45.660 03/07/2019
2891,,,
2892,0.1551,0.5424,11:18:45.840 03/07/2019
2893,,,
2894,0.1562,0.5427,11:18:46.020 03/07/2019
2895,,,
2896,0.1561,0.5414,11:18:46.200 03/07/2019
2897,,,
2898,0.1559,0.5428,11:18:46.380 03/07/2019
2899,,,
2900,0.1558,0.5420,11:18:46.560 03/07/2019
2901,,,
2902,0.1572,0.5425,11:18:46.740 03/07/2019
2903,,,
2904,0.1567,0.5426,11:18:46.920 03/07/2019
2905,,,
2906,0.1542,0.5412,11:18:47.100 03/07/2019
2907,,,
2908,0.1543,0.5419,11:18:47.280 03/07/2019
2909,,,
2910,0.1550,0.5417,11:18:47.460 03/07/2019
2911,,,
2912,0.1543,0.5420,11:18:47.640 03/07/2019
2913,,,
2914,0.1544,0.5422,11:18:47.820 03/07/2019
2915,,,
2916,0.1535,0.5422,11:18:48.000 03/07/2019
2917,,,
2918,0.1536,0.5419,11:18:48.180 03/07/2019
2919,,,
2920,0.1545,0.5426,11:18:48.360 03/07/2019
2921,,,
2922,0.1546,0.5418,11:18:48.540 03/07/2019
2923,,,
2924,0.1549,0.5427,11:18:48.720 03/07/2019
2925,,,
2926,0.1550,0.5428,11:18:48.900 03/07/2019
2927,,,
2928,0.1532,0.5451,11:18:49.080 03/07/2019
2929,,,
2930,0.1543,0.5441,11:18:49.260 03/07/2019
2931,,,
2932,0.1539,0.5449,11:18:49.440 03/07/2019
2933,,,
2934,0.1534,0.5446,11:18:49.620 03/07/2019
2935,,,
2936,0.1533,0.5449,11:18:49.800 03/07/2019
2937,,,
2938,0.1547,0.5431,11:18:49.980 03/07/2019
2939,,,
2940,0.1534,0.5431,11:18:50.160 03/07/2019
2941,,,
2942,0.1538,0.5435,11:18:50.340 03/07/2019
2943,,,
2944,0.1538,0.5425,11:18:50.520 03/07/2019
2945,,,
2946,0.1535,0.5432,11:18:50.700 03/07/2019
2947,,,
2948,0.1518,0.5443,11:18:50.880 03/07/2019
2949,,,
2950,0.1523,0.5442,11:18:51.060 03/07/2019
2951,,,
2952,0.1511,0.5437,11:18:51.240 03/07/2019
2953,,,
2954,0.1511,0.5434,11:18:51.420 03/07/2019
2955,,,
2956,0.1508,0.5432,11:18:51.600 03/07/2019
2957,,,
2958,0.1503,0.5434,11:18:51.780 03/07/2019
2959,,,
2960,0.1480,0.5412,11:18:51.960 03/07/2019
2961,,,
2962,0.1485,0.5411,11:18:52.200 03/07/2019
2963,,,
2964,0.1481,0.5415,11:18:52.380 03/07/2019
2965,,,
2966,0.1487,0.5416,11:18:52.560 03/07/2019
2967,,,
2968,0.1480,0.5409,11:18:52.740 03/07/2019
2969,,,
2970,0.1493,0.5407,11:18:52.920 03/07/2019
2971,,,
2972,0.1502,0.5420,11:18:53.100 03/07/2019
2973,,,
2974,0.1509,0.5419,11:18:53.280 03/07/2019
2975,,,
2976,0.1508,0.5411,11:18:53.460 03/07/2019
2977,,,
2978,0.1519,0.5414,11:18:53.640 03/07/2019
2979,,,
2980,0.1531,0.5412,11:18:53.820 03/07/2019
2981,,,
2982,0.1532,0.5415,11:18:54.000 03/07/2019
2983,,,
2984,0.1549,0.5413,11:18:54.240 03/07/2019
2985,,,
2986,0.1536,0.5413,11:18:54.420 03/07/2019
2987,,,
2988,0.1556,0.5413,11:18:54.600 03/07/2019
2989,,,
2990,0.1577,0.5419,11:18:54.780 03/07/2019
2991,,,
2992,0.1594,0.5429,11:18:54.960 03/07/2019
2993,,,
2994,0.1590,0.5426,11:18:55.140 03/07/2019
2995,,,
2996,0.1604,0.5424,11:18:55.320 03/07/2019
2997,,,
2998,0.1600,0.5431,11:18:55.500 03/07/2019
2999,,,
3000,0.1634,0.5424,11:18:55.680 03/07/2019
3001,,,
3002,0.1637,0.5428,11:18:55.860 03/07/2019
3003,,,
3004,0.1636,0.5433,11:18:56.040 03/07/2019
3005,,,
3006,0.1622,0.5422,11:18:56.220 03/07/2019
3007,,,
3008,0.1623,0.5412,11:18:56.400 03/07/2019
3009,,,
3010,0.1616,0.5412,11:18:56.580 03/07/2019
3011,,,
3012,0.1620,0.5423,11:18:56.760 03/07/2019
3013,,,
3014,0.1609,0.5418,11:18:56.940 03/07/2019
3015,,,
3016,0.1606,0.5420,11:18:57.120 03/07/2019
3017,,,
3018,0.1603,0.5421,11:18:57.300 03/07/2019
3019,,,
3020,0.1597,0.5410,11:18:57.480 03/07/2019
3021,,,
3022,0.1598,0.5429,11:18:57.660 03/07/2019
3023,,,
3024,0.1603,0.5426,11:18:57.840 03/07/2019
3025,,,
3026,0.1607,0.5435,11:18:58.020 03/07/2019
3027,,,
3028,0.1604,0.5419,11:18:58.200 03/07/2019
3029,,,
3030,0.1609,0.5426,11:18:58.380 03/07/2019
3031,,,
3032,0.1608,0.5418,11:18:58.560 03/07/2019
3033,,,
3034,0.1610,0.5421,11:18:58.740 03/07/2019
3035,,,
3036,0.1604,0.5429,11:18:58.920 03/07/2019
3037,,,
3038,0.1603,0.5420,11:18:59.100 03/07/2019
3039,,,
3040,0.1614,0.5428,11:18:59.280 03/07/2019
3041,,,
3042,0.1613,0.5421,11:18:59.460 03/07/2019
3043,,,
3044,0.1613,0.5417,11:18:59.640 03/07/2019
3045,,,
3046,0.1612,0.5420,11:18:59.820 03/07/2019
3047,,,
3048,0.1612,0.5417,11:19:00.000 03/07/2019
3049,,,
3050,0.1620,0.5416,11:19:00.180 03/07/2019
3051,,,
3052,0.1601,0.5413,11:19:00.360 03/07/2019
3053,,,
3054,0.1608,0.5406,11:19:00.540 03/07/2019
3055,,,
3056,0.1608,0.5413,11:19:00.720 03/07/2019
3057,,,
3058,0.1611,0.5417,11:19:00.900 03/07/2019
3059,,,
3060,0.1520,0.5408,11:19:01.080 03/07/2019
3061,,,
3062,0.1511,0.5404,11:19:01.260 03/07/2019
3063,,,
3064,0.1514,0.5409,11:19:01.440 03/07/2019
3065,,,
3066,0.1514,0.5397,11:19:01.620 03/07/2019
3067,,,
3068,0.1513,0.5400,11:19:01.800 03/07/2019
3069,,,
3070,0.1523,0.5401,11:19:01.980 03/07/2019
3071,,,
3072,0.1526,0.5405,11:19:02.160 03/07/2019
3073,,,
3074,0.1535,0.5395,11:19:02.340 03/07/2019
3075,,,
3076,0.1545,0.5396,11:19:02.520 03/07/2019
3077,,,
3078,0.1551,0.5390,11:19:02.700 03/07/2019
3079,,,
3080,0.1565,0.5394,11:19:02.880 03/07/2019
3081,,,
3082,0.1563,0.5400,11:19:03.060 03/07/2019
3083,,,
3084,0.1565,0.5393,11:19:03.240 03/07/2019
3085,,,
3086,0.1590,0.5404,11:19:03.420 03/07/2019
3087,,,
3088,0.1590,0.5395,11:19:03.600 03/07/2019
3089,,,
3090,0.1597,0.5399,11:19:03.780 03/07/2019
3091,,,
3092,0.1595,0.5393,11:19:03.960 03/07/2019
3093,,,
3094,0.1599,0.5384,11:19:04.140 03/07/2019
3095,,,
3096,0.1595,0.5386,11:19:04.320 03/07/2019
3097,,,
3098,0.1603,0.5381,11:19:04.500 03/07/2019
3099,,,
3100,0.1606,0.5381,11:19:04.680 03/07/2019
3101,,,
3102,0.1604,0.5381,11:19:04.860 03/07/2019
3103,,,
3104,0.1598,0.5377,11:19:05.040 03/07/2019
3105,,,
3106,0.1597,0.5372,11:19:05.220 03/07/2019
3107,,,
3108,0.1598,0.5373,11:19:05.400 03/07/2019
3109,,,
3110,0.1592,0.5366,11:19:05.580 03/07/2019
3111,,,
3112,0.1586,0.5366,11:19:05.760 03/07/2019
3113,,,
3114,0.1582,0.5352,11:19:05.940 03/07/2019
3115,,,
3116,0.1585,0.5357,11:19:06.120 03/07/2019
3117,,,
3118,0.1585,0.5352,11:19:06.300 03/07/2019
3119,,,
3120,0.1581,0.5343,11:19:06.480 03/07/2019
3121,,,
3122,0.1573,0.5339,11:19:06.660 03/07/2019
3123,,,
3124,0.1592,0.5348,11:19:06.840 03/07/2019
3125,,,
3126,0.1586,0.5349,11:19:07.020 03/07/2019
3127,,,
3128,0.1594,0.5354,11:19:07.200 03/07/2019
3129,,,
3130,0.1576,0.5351,11:19:07.380 03/07/2019
3131,,,
3132,0.1563,0.5357,11:19:07.560 03/07/2019
3133,,,
3134,0.1579,0.5358,11:19:07.740 03/07/2019
3135,,,
3136,0.1567,0.5345,11:19:07.920 03/07/2019
3137,,,
3138,0.1574,0.5355,11:19:08.100 03/07/2019
3139,,,
3140,0.1575,0.5360,11:19:08.280 03/07/2019
3141,,,
3142,0.1582,0.5359,11:19:08.460 03/07/2019
3143,,,
3144,0.1578,0.5360,11:19:08.640 03/07/2019
3145,,,
3146,0.1570,0.5371,11:19:08.820 03/07/2019
3147,,,
3148,0.1572,0.5376,11:19:09.000 03/07/2019
3149,,,
3150,0.1573,0.5375,11:19:09.180 03/07/2019
3151,,,
3152,0.1592,0.5380,11:19:09.360 03/07/2019
3153,,,
3154,0.1595,0.5388,11:19:09.540 03/07/2019
3155,,,
3156,0.1586,0.5392,11:19:09.720 03/07/2019
3157,,,
3158,0.1588,0.5398,11:19:09.900 03/07/2019
3159,,,
3160,0.1575,0.5402,11:19:10.080 03/07/2019
3161,,,
3162,0.1578,0.5412,11:19:10.260 03/07/2019
3163,,,
3164,0.1580,0.5411,11:19:10.440 03/07/2019
3165,,,
3166,0.1595,0.5421,11:19:10.620 03/07/2019
3167,,,
3168,0.1582,0.5413,11:19:10.800 03/07/2019
3169,,,
3170,0.1599,0.5443,11:19:10.980 03/07/2019
3171,,,
3172,0.1608,0.5444,11:19:11.160 03/07/2019
3173,,,
3174,0.1606,0.5446,11:19:11.340 03/07/2019
3175,,,
3176,0.1600,0.5442,11:19:11.520 03/07/2019
3177,,,
3178,0.1597,0.5442,11:19:11.700 03/07/2019
3179,,,
3180,0.1604,0.5465,11:19:11.880 03/07/2019
3181,,,
3182,0.1600,0.5462,11:19:12.060 03/07/2019
3183,,,
3184,0.1597,0.5454,11:19:12.240 03/07/2019
3185,,,
3186,0.1582,0.5454,11:19:12.420 03/07/2019
3187,,,
3188,0.1576,0.5445,11:19:12.600 03/07/2019
3189,,,
3190,0.1589,0.5454,11:19:12.780 03/07/2019
3191,,,
3192,0.1579,0.5451,11:19:12.960 03/07/2019
3193,,,
3194,0.1575,0.5441,11:19:13.140 03/07/2019
3195,,,
3196,0.1573,0.5441,11:19:13.320 03/07/2019
3197,,,
3198,0.1582,0.5443,11:19:13.500 03/07/2019
3199,,,
3200,0.1572,0.5452,11:19:13.680 03/07/2019
3201,,,
3202,0.1590,0.5453,11:19:13.860 03/07/2019
3203,,,
3204,0.1585,0.5456,11:19:14.040 03/07/2019
3205,,,
3206,0.1593,0.5459,11:19:14.220 03/07/2019
3207,,,
3208,0.1584,0.5455,11:19:14.400 03/07/2019
3209,,,
3210,0.1596,0.5462,11:19:14.580 03/07/2019
3211,,,
3212,0.1566,0.5447,11:19:14.760 03/07/2019
3213,,,
3214,0.1563,0.5456,11:19:14.940 03/07/2019
3215,,,
3216,0.1555,0.5435,11:19:15.120 03/07/2019
3217,,,
3218,0.1557,0.5437,11:19:15.300 03/07/2019
3219,,,
3220,0.1551,0.5439,11:19:15.480 03/07/2019
3221,,,
3222,0.1551,0.5421,11:19:15.660 03/07/2019
3223,,,
3224,0.1545,0.5423,11:19:15.840 03/07/2019
3225,,,
3226,0.1545,0.5413,11:19:16.020 03/07/2019
3227,,,
3228,0.1533,0.5412,11:19:16.200 03/07/2019
3229,,,
3230,0.1529,0.5411,11:19:16.380 03/07/2019
3231,,,
3232,0.1519,0.5410,11:19:16.560 03/07/2019
3233,,,
3234,0.1515,0.5399,11:19:16.740 03/07/2019
3235,,,
3236,0.1508,0.5396,11:19:16.920 03/07/2019
3237,,,
3238,0.1506,0.5398,11:19:17.100 03/07/2019
3239,,,
3240,0.1493,0.5400,11:19:17.280 03/07/2019
3241,,,
3242,0.1489,0.5391,11:19:17.460 03/07/2019
3243,,,
3244,0.1514,0.5402,11:19:17.640 03/07/2019
3245,,,
3246,0.1509,0.5392,11:19:17.820 03/07/2019
3247,,,
3248,0.1505,0.5389,11:19:18.000 03/07/2019
3249,,,
3250,0.1508,0.5378,11:19:18.180 03/07/2019
3251,,,
3252,0.1507,0.5379,11:19:18.360 03/07/2019
3253,,,
3254,0.1504,0.5371,11:19:18.540 03/07/2019
3255,,,
3256,0.1506,0.5375,11:19:18.720 03/07/2019
3257,,,
3258,0.1503,0.5373,11:19:18.900 03/07/2019
3259,,,
3260,0.1505,0.5367,11:19:19.080 03/07/2019
3261,,,
3262,0.1507,0.5362,11:19:19.260 03/07/2019
3263,,,
3264,0.1521,0.5362,11:19:19.440 03/07/2019
3265,,,
3266,0.1515,0.5362,11:19:19.620 03/07/2019
3267,,,
3268,0.1529,0.5355,11:19:19.800 03/07/2019
3269,,,
3270,0.1519,0.5356,11:19:19.980 03/07/2019
3271,,,
3272,0.1533,0.5349,11:19:20.160 03/07/2019
3273,,,
3274,0.1547,0.5356,11:19:20.340 03/07/2019
3275,,,
3276,0.1553,0.5354,11:19:20.520 03/07/2019
3277,,,
3278,0.1556,0.5348,11:19:20.700 03/07/2019
3279,,,
3280,0.1572,0.5364,11:19:20.880 03/07/2019
3281,,,
3282,0.1587,0.5370,11:19:21.060 03/07/2019
3283,,,
3284,0.1581,0.5379,11:19:21.240 03/07/2019
3285,,,
3286,0.1589,0.5381,11:19:21.420 03/07/2019
3287,,,
3288,0.1600,0.5386,11:19:21.600 03/07/2019
3289,,,
3290,0.1594,0.5380,11:19:21.780 03/07/2019
3291,,,
3292,0.1643,0.5407,11:19:21.960 03/07/2019
3293,,,
3294,0.1638,0.5393,11:19:22.140 03/07/2019
3295,,,
3296,0.1636,0.5395,11:19:22.320 03/07/2019
3297,,,
3298,0.1621,0.5387,11:19:22.500 03/07/2019
3299,,,
3300,0.1620,0.5388,11:19:22.680 03/07/2019
3301,,,
3302,0.1612,0.5412,11:19:22.860 03/07/2019
3303,,,
3304,0.1608,0.5395,11:19:23.040 03/07/2019
3305,,,
3306,0.1597,0.5397,11:19:23.220 03/07/2019
3307,,,
3308,0.1599,0.5404,11:19:23.400 03/07/2019
3309,,,
3310,0.1599,0.5396,11:19:23.580 03/07/2019
3311,,,
3312,0.1593,0.5391,11:19:23.760 03/07/2019
3313,,,
3314,0.1582,0.5391,11:19:23.940 03/07/2019
3315,,,
3316,0.1580,0.5390,11:19:24.180 03/07/2019
3317,,,
3318,0.1574,0.5396,11:19:24.360 03/07/2019
3319,,,
3320,0.1577,0.5381,11:19:24.540 03/07/2019
3321,,,
3322,0.1587,0.5385,11:19:24.720 03/07/2019
3323,,,
3324,0.1582,0.5383,11:19:24.900 03/07/2019
3325,,,
3326,0.1591,0.5389,11:19:25.080 03/07/2019
3327,,,
3328,0.1561,0.5416,11:19:25.260 03/07/2019
3329,,,
3330,0.1542,0.5407,11:19:25.440 03/07/2019
3331,,,
3332,0.1566,0.5408,11:19:25.620 03/07/2019
3333,,,
3334,0.1534,0.5407,11:19:25.800 03/07/2019
3335,,,
3336,0.1530,0.5399,11:19:25.980 03/07/2019
3337,,,
